title,info,rating,quote
红楼梦,[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元,9.7,都云作者痴，谁解其中味？
活着,余华 / 作家出版社 / 2012-8 / 28.00元,9.4,生的苦难与伟大
哈利·波特,J.K.罗琳 (J.K.Rowling) / 苏农 / 人民文学出版社 / 2008-12-1 / 498.00元,9.7,从9¾站台开始的旅程
1984,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,9.4,栗树荫下，我出卖你，你出卖我
三体全集: 地球往事三部曲,刘慈欣 / 重庆出版社 / 2012-1 / 168.00元,9.5,地球往事三部曲
百年孤独,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,9.3,魔幻现实主义文学代表作
飘,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,9.3,革命时期的爱情，随风而逝
动物农场,[英] 乔治·奥威尔 / 荣如德 / 上海译文出版社 / 2007-3 / 10.00元,9.3,太阳底下并无新事
房思琪的初恋乐园,林奕含 / 北京联合出版公司 / 2018-2 / 45.00元,9.2,向死而生的文学绝唱
三国演义（全二册）,[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,9.3,是非成败转头空
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,9.3,名侦探的代名词
白夜行,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2013-1-1 / 39.50元,9.2,一宗离奇命案牵出跨度近20年步步惊心的故事
邓小平时代,【美】傅高义 (Ezra.F.Vogel) / 冯克利 / 生活·读书·新知三联书店 / 2013-1-18 / 88.00元,9.4,个人命运背后的历史变局
安徒生童话故事集,（丹麦）安徒生 / 叶君健 / 人民文学出版社 / 1997-08 / 25.00元,9.3,为了争取未来的一代
小王子,[法] 圣埃克苏佩里 / 马振骋 / 人民文学出版社 / 2003-8 / 22.00元,9.1,献给长成了大人的孩子们
呐喊,鲁迅 / 人民文学出版社 / 1973-3 / 0.36元,9.2,新文学的第一声呐喊
撒哈拉的故事,三毛 / 哈尔滨出版社 / 2003-8 / 15.80元,9.2,游荡的自由灵魂
天龙八部,金庸 / 生活·读书·新知三联书店 / 1994-5 / 96.00元,9.2,有情皆孽，无人不冤
失踪的孩子: 那不勒斯四部曲4,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2018-7 / 62.00元,9.2,我的整个生命，只是一场为了提升社会地位的低俗斗争。
杀死一只知更鸟,[美] 哈珀·李 / 高红梅 / 译林出版社 / 2012-9 / 32.00元,9.2,有一种东西不能遵循从众原则，那就是——人的良心
新名字的故事: 那不勒斯四部曲2,[意] 埃莱娜·费兰特 / 陈英 / 人民文学出版社 / 2017-4 / 59.00元,9.2,探索青年时代的激情、困惑、挣扎、背叛和失去
明朝那些事儿（1-9）: 限量版,当年明月 / 中国海关出版社 / 2009-4 / 358.20元,9.2,不拘一格的历史书写
卡拉马佐夫兄弟,陀思妥耶夫斯基 (Ф.М.Достоевский) / 荣如德 / 上海译文出版社 / 2015-2-1 / CNY 78.00,9.6,
野草,鲁迅 / 人民文学出版社 / 1973-3 / 0.20元,9.5,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。
悉达多: 一首印度的诗,[德] 赫尔曼·黑塞 / 姜乙 / 天津人民出版社 / 2017-1 / 32.00元,9.2,
中国历代政治得失,钱穆 / 生活·读书·新知三联书店 / 2001 / 12.00元,9.2,一部简明的“中国政治制度史”
沉默的大多数: 王小波杂文随笔全编,王小波 / 中国青年出版社 / 1997-10 / 27.00元,9.1,沉默是沉默者的通行证
罗杰疑案: 阿加莎·克里斯蒂作品02,[英] 阿加莎·克里斯蒂 / 常禾 / 新星出版社 / 2013-3 / 28.00元,9.3,
局外人,[法] 阿尔贝·加缪 / 柳鸣九 / 上海译文出版社 / 2010-8 / 22.00元,9.1,人生在世，永远也不该演戏作假
许三观卖血记,余华 / 作家出版社 / 2012-9 / 24.00元,9.2,
我与地坛: 史铁生代表作,史铁生 / 春风文艺出版社 / 2002-5 / 25.00元,9.2,这是你的罪孽与福祉
彷徨,鲁迅 / 人民文学出版社 / 1973-3 / 0.37元,9.3,路漫漫其修远兮，吾将上下而求索
白鹿原: 20周年精装典藏版,陈忠实 / 人民文学出版社 / 2012-9 / 39.00元,9.2,一轴关于我们民族灵魂的现实主义画卷
乡土中国,费孝通 / 上海人民出版社 / 2006-4 / 38.00,9.2,中国乡土社会传统文化和社会结构理论研究代表作
人类简史: 从动物到上帝,[以色列] 尤瓦尔·赫拉利 / 林俊宏 / 中信出版社 / 2014-11 / 68.00元,9.1,跟着人类一同走过十万年
笑傲江湖（全四册）,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,9.1,欲练此功，必先自宫
围城,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,9.0,幽默的语言和对生活深刻的观察
平凡的世界（全三部）,路遥 / 人民文学出版社 / 2005-1 / 64.00元,9.0,中国当代城乡生活全景
献给阿尔吉侬的花束,[美] 丹尼尔·凯斯 / 陈澄和 / 广西师范大学出版社 / 2015-4 / 36.00元,9.1,当声称能改造智能的科学实验选中心智障碍主角
故事新编,鲁迅 / 人民文学出版社 / 1973-12-01 / 0.31 元,9.5,拾取古代传说，取一点因由，随意点染
东方快车谋杀案,[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元,9.1,谋杀诡计惊人，波洛的抉择耐人寻味
肖申克的救赎,[美] 斯蒂芬·金 / 施寄青 / 人民文学出版社 / 2006-7 / 29.90元,9.1,豆瓣电影Top1原著
城南旧事: 纪念普及版,林海音 文 / 中国青年出版社 / 2003-7 / 16.00元,9.1,长亭外，古道边，芳草碧连天
江城,[美] 彼得·海斯勒 / 李雪顺 / 上海译文出版社 / 2012-1 / 36.00元,9.1,外国人眼中的涪陵
基督山伯爵,[法国] 大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元,9.1,一个报恩复仇的故事，以法国波旁王朝和七月王朝为背景
朝花夕拾,鲁迅 / 人民文学出版社 / 1973-4 / 0.25元,9.1,在纷扰中寻出一点闲静
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,9.0,义无反顾地直达爱情的核心
万历十五年,[美] 黄仁宇 / 生活·读书·新知三联书店 / 1997-5 / 18.00元,9.0,见微知著，历史观的颠覆
艺术的故事,[英] 贡布里希 (Sir E.H.Gombrich) / 范景中 / 广西美术出版社 / 2008-04 / 280.00,9.5,从最早的洞窟绘画到当今的实验艺术
秋园,杨本芬 / 北京联合出版公司 / 2020-6 / 38.00元,9.0,
